CTUID,City,Population,Land Area (km),Tree Count,Basal Area Sum,DED Sus Tree Count,DED Sus Basal Area,DED Tree Count,DED Basal Area,EAB Tree Count,EAB Basal Area,Tree Count Per Capita,Basal Area Sum Per Capita,DED Sus Tree Count Per Capita,DED Sus Basal Area Per Capita,DED Tree Count Per Capita,DED Basal Area Per Capita,EAB Tree Count Per Capita,EAB Basal Area Per Capita,Tree Count Proportion,Basal Area Sum Proportion,DED Sus Tree Count Proportion,DED Sus Basal Area Proportion,DED Tree Count Proportion,DED Basal Area Proportion,EAB Tree Count Proportion,EAB Basal Area Proportion
6020001,Winnipeg,4213,1.78,3047,518.7416203,1343,100.3361066,1272,95.3404914,2672,482.3855329,0.723237598,0.123128797,0.31877522,0.023815834,0.30192262,0.022630072,0.634227391,0.114499296,2.97E-06,4.32E-06,1.83E-06,1.64E-06,2.02E-06,2.15E-06,3.73E-06,4.93E-06
6020002,Winnipeg,5540,1.85,2827,456.9797278,1254,80.76166098,1136,68.55497418,2338,411.6115681,0.510288809,0.082487315,0.226353791,0.014577917,0.205054152,0.012374544,0.422021661,0.074298117,2.09E-06,2.89E-06,1.30E-06,1.00E-06,1.37E-06,1.17E-06,2.48E-06,3.20E-06
6020003,Winnipeg,5152,1.41,3111,630.0587185,1219,94.53757698,1131,86.19427278,2562,568.9645731,0.603843168,0.122294006,0.236607143,0.018349685,0.219526398,0.016730255,0.497282609,0.11043567,2.48E-06,4.29E-06,1.36E-06,1.26E-06,1.47E-06,1.59E-06,2.92E-06,4.76E-06
6020004.01,Winnipeg,4554,1.1,2530,560.6339924,559,49.50698214,537,48.345297,2278,537.667247,0.555555556,0.123108035,0.122749231,0.010871098,0.117918314,0.010616007,0.500219587,0.118064832,2.28E-06,4.32E-06,7.05E-07,7.49E-07,7.87E-07,1.01E-06,2.94E-06,5.08E-06
6020004.02,Winnipeg,3549,2.27,1181,119.8643708,925,81.36673314,644,56.08172262,681,69.1148073,0.332769794,0.033774125,0.260636799,0.022926665,0.181459566,0.01580212,0.191885038,0.019474446,1.37E-06,1.19E-06,1.50E-06,1.58E-06,1.21E-06,1.50E-06,1.13E-06,8.39E-07
6020005,Winnipeg,5511,2.37,3961,612.1847424,1361,97.9205304,1051,75.37138224,3339,548.5849354,0.71874433,0.111084149,0.246960624,0.017768196,0.19070949,0.013676535,0.605879151,0.099543628,2.95E-06,3.90E-06,1.42E-06,1.22E-06,1.27E-06,1.30E-06,3.56E-06,4.29E-06
6020006,Winnipeg,5169,2.27,1298,125.2675301,802,53.23001376,762,50.29340316,824,78.7799397,0.251112401,0.024234384,0.155155736,0.010297933,0.147417295,0.009729813,0.159411879,0.015240847,1.03E-06,8.50E-07,8.91E-07,7.09E-07,9.84E-07,9.22E-07,9.37E-07,6.56E-07
6020007,Winnipeg,4042,3.19,2439,332.6310372,1400,134.3010438,1334,129.5344512,1812,258.0708161,0.603414151,0.082293676,0.346363187,0.033226384,0.330034636,0.032047118,0.448292924,0.063847307,2.48E-06,2.89E-06,1.99E-06,2.29E-06,2.20E-06,3.04E-06,2.63E-06,2.75E-06
6020008,Winnipeg,2850,1.12,2538,552.5062805,999,100.0351414,970,98.7495201,2319,525.6159124,0.890526316,0.193861853,0.350526316,0.03510005,0.340350877,0.034648954,0.813684211,0.184426636,3.66E-06,6.80E-06,2.01E-06,2.42E-06,2.27E-06,3.28E-06,4.78E-06,7.94E-06
6020009,Winnipeg,2999,0.99,2678,490.1106487,863,50.30518416,831,49.85389332,2389,454.108384,0.892964321,0.163424691,0.287762588,0.016773986,0.277092364,0.016623506,0.796598866,0.151419935,3.67E-06,5.73E-06,1.65E-06,1.15E-06,1.85E-06,1.58E-06,4.68E-06,6.52E-06
